Year, Net Migration ,Net Migration growth(%),Cash Rate (%),Median House Price (AUD),,Average Annual Wage (AUD),Average Annual Wage Growth (%),S&P 500 (USD),USD/AUD Exchange Rate, S&P 500 (AUD) , S&P 500 (AUD) base 100 ,Year,Inflation Rate, Net Migration Base 1 , Cumulative Migration , Median House Price (AUD) Base 100 , Average Annual Wage (AUD) base 1 ,Median House Price growth (%)(AUD)
1975," 50,000 ",,8,25000,,10000,,90,0.77, 69 , 100 ,1975,15.16%, 1.00 ," 50,000 ", 1.00 , 1.00 ,0
1976," 70,000 ",,8.5,27000,,11000,10%,107,0.82, 88 , 127 ,1976,13.32%, 2.40 ," 120,000 ", 1.08 , 1.10 ,8%
1977," 80,000 ",,8.25,29000,,12000,9%,95,0.9, 86 , 123 ,1977,12.31%, 4.00 ," 200,000 ", 1.16 , 1.20 ,7%
1978," 70,000 ",,8,32000,,13000,8%,97,0.87, 84 , 122 ,1978,8.00%, 5.40 ," 270,000 ", 1.28 , 1.30 ,10%
1979," 80,000 ",,9,36000,,14000,8%,108,0.89, 96 , 139 ,1979,9.12%, 7.00 ," 350,000 ", 1.44 , 1.40 ,13%
1980," 110,000 ",,10,45000,,15000,7%,136,0.88, 120 , 173 ,1980,10.14%, 9.20 ," 460,000 ", 1.80 , 1.50 ,25%
1981," 120,000 ",,11.5,50000,,17000,13%,122,0.87, 106 , 153 ,1981,9.49%, 11.60 ," 580,000 ", 2.00 , 1.70 ,11%
1982," 90,000 ",,13.5,55000,,18000,6%,140,0.99, 139 , 200 ,1982,11.35%, 13.40 ," 670,000 ", 2.20 , 1.80 ,10%
1983," 70,000 ",,11,60000,,20000,11%,165,1.11, 183 , 264 ,1983,10.04%, 14.80 ," 740,000 ", 2.40 , 2.00 ,9%
1984," 80,000 ",,10.5,62000,,21000,5%,167,1.19, 199 , 287 ,1984,3.96%, 16.40 ," 820,000 ", 2.48 , 2.10 ,3%
1985," 90,000 ",,12,65000,,22000,5%,211,1.43, 302 , 435 ,1985,6.73%, 18.20 ," 910,000 ", 2.60 , 2.20 ,5%
1986," 110,000 ",,13,70000,,24000,9%,243,1.49, 362 , 522 ,1986,9.05%, 20.40 ," 1,020,000 ", 2.80 , 2.40 ,8%
1987," 140,000 ",,11.5,80000,,25000,4%,247,1.43, 353 , 510 ,1987,8.53%, 23.20 ," 1,160,000 ", 3.20 , 2.50 ,14%
1988," 170,000 ",,13.5,90000,,27000,8%,277,1.26, 349 , 504 ,1988,7.22%, 26.60 ," 1,330,000 ", 3.60 , 2.70 ,13%
1989," 130,000 ",,17,100000,,29000,7%,353,1.27, 448 , 647 ,1989,7.53%, 29.20 ," 1,460,000 ", 4.00 , 2.90 ,11%
1990," 100,000 ",,15,110000,,31000,7%,330,1.28, 422 , 610 ,1990,7.33%, 31.20 ," 1,560,000 ", 4.40 , 3.10 ,10%
1991," 90,000 ",,11,115000,,32000,3%,417,1.3, 542 , 782 ,1991,3.18%, 33.00 ," 1,650,000 ", 4.60 , 3.20 ,5%
1992," 30,000 ",,8,120000,,33000,3%,436,1.36, 593 , 856 ,1992,1.01%, 33.60 ," 1,680,000 ", 4.80 , 3.30 ,4%
1993," 47,000 ",,5.5,125000,,34000,3%,466,1.47, 685 , 988 ,1993,1.75%, 34.54 ," 1,727,000 ", 5.00 , 3.40 ,4%
1994," 80,000 ",,5.5,130000,,35000,3%,459,1.29, 592 , 854 ,1994,1.97%, 36.14 ," 1,807,000 ", 5.20 , 3.50 ,4%
1995," 100,000 ",,7.5,130000,,36000,3%,615,1.35, 830 ," 1,198 ",1995,4.63%, 38.14 ," 1,907,000 ", 5.20 , 3.60 ,0%
1996," 90,000 ",,7,140000,,38000,6%,741,1.26, 934 ," 1,347 ",1996,2.62%, 39.94 ," 1,997,000 ", 5.60 , 3.80 ,8%
1997," 80,000 ",,5.5,150000,,39000,3%,970,1.34," 1,300 "," 1,876 ",1997,0.22%, 41.54 ," 2,077,000 ", 6.00 , 3.90 ,7%
1998," 90,000 ",,5,155000,,40000,3%,"1,229",1.59," 1,954 "," 2,820 ",1998,0.86%, 43.34 ," 2,167,000 ", 6.20 , 4.00 ,3%
1999," 100,000 ",,5,160000,,42000,5%,"1,469",1.55," 2,277 "," 3,286 ",1999,1.48%, 45.34 ," 2,267,000 ", 6.40 , 4.20 ,3%
2000," 110,000 ",,6,170000,,44000,5%,"1,320",1.72," 2,270 "," 3,276 ",2000,4.46%, 47.54 ," 2,377,000 ", 6.80 , 4.40 ,6%
